true\pred,Arabic,Chinese,Czech,Dutch,English,French,German,Greek,Irish,Italian,Japanese,Korean,Polish,Portuguese,Russian,Scottish,Spanish,Vietnamese
Arabic,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chinese,0,32,0,0,3,0,0,0,0,0,0,2,0,0,3,0,0,0
Czech,0,0,31,3,14,0,8,0,0,2,1,0,1,0,16,0,2,0
Dutch,0,1,2,19,15,1,3,0,0,1,0,0,0,0,3,0,0,0
English,5,5,5,3,477,2,7,0,1,4,0,1,0,0,40,0,0,0
French,0,0,0,0,23,12,0,0,0,1,0,0,0,0,6,0,0,0
German,0,2,1,3,56,0,29,0,1,1,1,0,0,0,15,0,0,0
Greek,0,0,0,1,5,0,0,18,0,0,0,0,0,0,6,0,0,0
Irish,1,0,0,0,14,1,0,0,13,0,0,0,0,1,5,0,0,0
Italian,1,0,2,0,7,1,1,2,0,77,5,0,0,0,6,0,4,0
Japanese,1,0,3,0,2,0,0,0,0,12,119,0,0,0,10,0,2,0
Korean,0,9,0,0,1,0,0,0,0,1,0,0,0,0,2,0,1,0
Polish,0,1,6,0,0,0,1,0,0,1,1,0,5,0,6,0,0,0
Portuguese,0,0,2,0,2,0,0,2,0,1,1,0,0,1,0,0,2,0
Russian,5,3,7,1,42,1,3,2,1,10,11,0,0,0,1325,0,0,0
Scottish,0,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
Spanish,0,0,2,0,3,0,4,1,0,10,2,0,0,1,8,0,14,0
Vietnamese,0,7,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
