true\pred,Arabic,Chinese,Czech,Dutch,English,French,German,Greek,Irish,Italian,Japanese,Korean,Polish,Portuguese,Russian,Scottish,Spanish,Vietnamese
Arabic,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chinese,0,28,0,0,5,0,0,0,0,0,0,4,0,0,2,0,0,1
Czech,2,0,26,1,13,2,11,0,0,2,0,0,0,0,17,1,3,0
Dutch,0,1,1,17,14,2,2,0,0,1,0,0,0,0,5,0,2,0
English,8,2,8,2,409,12,21,2,4,3,1,1,4,2,62,5,4,0
French,0,0,0,0,16,14,2,0,0,3,1,0,0,0,4,0,2,0
German,0,1,2,3,41,3,35,0,1,1,0,1,0,0,21,0,0,0
Greek,0,0,0,1,3,0,0,20,0,0,0,0,0,0,5,0,1,0
Irish,2,0,1,1,11,0,0,1,13,0,0,0,0,1,5,0,0,0
Italian,2,0,3,0,3,2,0,1,1,76,3,0,0,1,5,0,9,0
Japanese,1,1,1,1,2,0,0,0,0,12,119,0,0,0,10,0,2,0
Korean,0,3,0,0,0,0,0,0,0,3,2,2,0,0,1,0,1,2
Polish,1,1,4,0,1,0,1,0,0,0,1,0,5,0,7,0,0,0
Portuguese,0,0,0,0,1,1,0,1,0,2,0,0,0,1,0,0,5,0
Russian,6,2,7,4,31,2,2,1,0,12,9,1,0,0,1330,0,4,0
Scottish,0,1,0,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0
Spanish,0,0,1,0,3,0,1,0,0,14,2,0,0,1,3,0,20,0
Vietnamese,0,3,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,4
