label,precision,recall,f1,support
Arabic,0.9316770186335404,1.0,0.9646302250803859,300
Chinese,0.6511627906976745,0.7,0.674698795180723,40
Czech,0.48148148148148145,0.3333333333333333,0.3939393939393939,78
Dutch,0.5666666666666667,0.37777777777777777,0.4533333333333333,45
English,0.7200704225352113,0.7436363636363637,0.7316636851520573,550
French,0.3684210526315789,0.3333333333333333,0.35,42
German,0.4666666666666667,0.3211009174311927,0.3804347826086957,109
Greek,0.7692307692307693,0.6666666666666666,0.7142857142857142,30
Irish,0.6842105263157895,0.37142857142857144,0.4814814814814815,35
Italian,0.5891472868217055,0.7169811320754716,0.6468085106382978,106
Japanese,0.8623188405797102,0.7986577181208053,0.8292682926829269,149
Korean,0.2222222222222222,0.14285714285714285,0.17391304347826086,14
Polish,0.5555555555555556,0.23809523809523808,0.33333333333333326,21
Portuguese,0.16666666666666666,0.09090909090909091,0.11764705882352942,11
Russian,0.8986486486486487,0.9425939050318922,0.9200968523002422,1411
Scottish,0.0,0.0,0.0,15
Spanish,0.37735849056603776,0.4444444444444444,0.40816326530612246,45
Vietnamese,0.5714285714285714,0.36363636363636365,0.4444444444444444,11
