label,precision,recall,f1,support
Arabic,0.9584664536741214,1.0,0.9787928221859706,300
Chinese,0.5245901639344263,0.8,0.6336633663366338,40
Czech,0.5081967213114754,0.3974358974358974,0.44604316546762585,78
Dutch,0.6333333333333333,0.4222222222222222,0.5066666666666666,45
English,0.6994134897360704,0.8672727272727273,0.7743506493506493,550
French,0.6666666666666666,0.2857142857142857,0.4,42
German,0.5178571428571429,0.26605504587155965,0.3515151515151515,109
Greek,0.72,0.6,0.6545454545454547,30
Irish,0.8125,0.37142857142857144,0.5098039215686275,35
Italian,0.6363636363636364,0.7264150943396226,0.6784140969162996,106
Japanese,0.8439716312056738,0.7986577181208053,0.8206896551724137,149
Korean,0.0,0.0,0.0,14
Polish,0.8333333333333334,0.23809523809523808,0.37037037037037035,21
Portuguese,0.3333333333333333,0.09090909090909091,0.14285714285714288,11
Russian,0.9131633356305996,0.9390503189227498,0.9259259259259258,1411
Scottish,0.0,0.0,0.0,15
Spanish,0.56,0.3111111111111111,0.4,45
Vietnamese,0.0,0.0,0.0,11
